,traffic,accident,incidents,suicide,murders,attempt-to-murder,car-accident,attack
492,"Heavy rains lash Odisha, hit road traffic, train services",Maneka Gandhi roots for sensors on footboard of buses to prevent accidents,Punjab Cabinet condemns sacrilege incidents,Congress politicising drop suicide: FM Arun Jaitley,President's rule in Arunachal 'murder' of Constitution: Arvind Kejriwal,Phase 1 Gujarat polls: 137 candidates face criminal charges,Honda to recall cars in Japan to repair brakes,"Rahul Gandhi attacks government on inflation, unemployment issues"
493,Sanyukt Kisan Morcha forms panel to provide legal aid to protesting farmers,Government to introduce bill to make law banning manual scavenging more stringent,Punjab put on alert after Pathankot terror incident,"SC questions Maharashtra govt over Arnab case, says matter pertains to personal liberty","BJP says supporting deportation of Rohingyas, asks lawyers to call off protest in J&K","Biden unleashes attacks, blames Trump for protest violence","Vehicle in President Pranab Mukherjee's convoy rolls down deep gorge, 6 injured","Kerala CM attacks Centre’s vaccine policy, to buy 1 crore vaccine to provide free to 18-44 year age group"
494,“Use of force would have caused a lot of collateral damage”: Delhi Police chief SN Srivastava,Baghjan gas well inferno: An engineer died at the site of gas well in Tinsukia district,677 incidents of cross-border firing by Pakistan,"Why urgent listing for Arnab Goswami, asks Dushyant Dave",Kamala Mills fire case: No bail for Mojo's Bistro co-owner,Looters descend on downtown Chicago; more than 100 arrested,"Senior Bajaj Auto executive, wife die in crash at Pune-Mumbai expressway; kids injured","India, China may slip into conflict that neither wants: US report"
495,Thousands of farmers attend mahapanchayat in Muzaffarnagar to back BKU,"As protests become part of our lives, perhaps a supportive eco-system is also here to stay",China talks of Doklam stress ahead of talks again,"Maharashtra government announces Rs 1,000 crore package for cash-strapped MSRTC",Supreme Court rejects plea to reopen Gandhi killing case,View: Why India needs to scrap its sedition law,Road crash deaths should be treated as murder: Experts,Bengal win will be bigger than 2017 UP victory: Amit Shah
496,"Will join investigation, need time to bring out truth, says actor-turned-activist Deep Sidhu",Seven women killed after explosion at fireworks unit in Cuddalore district,Board of Inquiry into INS Betwa incident; Navy chief visits naval dockyard,Celebrating note ban akin to cut cakes on victims' graves: Shiv Sena,"UDF attacks police over ""failure"" to rein in goons,mafia gangs",No detail too small for Saudi Prince as G-20 offers redemption,"MLA’s son mows down three in Jaipur, injures cop",View: How counterinsurgency operations can succeed in Chhattisgarh
497,"More farmers pour into protest site at Ghazipur border, extra forces withdrawn",Shiv Sena supports government on no Question Hour in Parliament's monsoon session,"Kamala Mills fire: Out for dinner, three friends lose their wives",Kin not allowed to meet prisoners amid COVID-19: Maharashtra minister,"When controversy takes centre stage: Mohammad Shami, Imran Khan and other messy affairs in cricket","Government's plans to ""rev up"" Bapu's martyrdom place killing its essence, politically motivated: Gandhi kin","Government alone cannot make roads safe, onus on people too: Nitin Gadkari",Centre and Chhattisgarh government plan major anti-Maoist operation
498,"Farmers' protests: Crowd swells at UP Gate, 'excess force' at the site removed overnight","Deaths in crashes on expressways, highways rise in recent years",Adani Ports SEZ Q2 profit slips 7% YoY on higher tax incidence,BJP desecrated Constitution by abrogating Article 370; people of Jammu upset as well: Mehbooba Mufti,Pakistan displays Bhagat Singh's case file for the first time,"Govt's plans to ""rev up"" Bapu's martyrdom place killing its essence, politically motivated: Gandhi kin",Lethal gases from Jharia's coalfields fire continue to wreck havoc a century later,Mamata Banerjee grieves death of 22 security personnel in Chhattisgarh; slams BJP
499,Uttar Pradesh keeps a watch on farmers returning from protests,Howrah-New Delhi Poorva Express derails near Kanpur; 15 injured,Air India takes dig at IndiGo after manhandling incident at Delhi Airport,Republic TV's editor-in-chief Arnab Goswami sent to Taloja jail in Navi Mumbai,"Pakistani woman admits meeting Mohammad Shami in Dubai, refutes monetary dealing claims","JNU VC mastermind behind Jan 5 attack, criminal proceedings must be started: Congress fact-finding panel",Mercedes hit-and-run case: Teen to be tried as adult,DRDO develops advanced chaff technology to safeguard Naval ships
500,Ghaziabad administration orders anti-farm laws protestors to vacate agitation site at Ghazipur,No increase in third-party cover for motorists,People beat up innocents in 72 braid-chopping incidents: J-K DGP,Arnab Goswami shifted to Taloja jail for using mobile phone in custody,Rampant lies have become Rahul Gandhi's hallmark: Ravi Shankar Prasad,"View: Court arrest, P Chidambaram, don’t ruin this opportunity and get labelled a fugitive",Police shuts down petrol pumps and closes flyover to prevent Drag racing in Bengaluru,Kamal Haasan's car 'attacked' during poll campaign in Tamil Nadu: Party leader
501,Volunteers to guard against rumour-mongering during tractor parade on R-Day,"On track: Railways' safety record in 2017-2018 best in 57 years, shows official data","Hurriyat calls for strike on Oct 21 against braid chopping incidents, abrogation of article 35 (A)",Court to hear Alibaug cops' plea for Arnab Goswami's custody on November 9,"Angered by son's cell phone addiction, man 'cuts off' teenager's hand",India expresses disappointment over Guterres mentioning it in report on children and armed conflict,Loop roads can cut traffic woes at Metro stations,"ECI finds West Bengal govt report on Mamata 'attack' sketchy, asks chief secretary to elaborate"
502,"Maharashtra: Farmers plan protest rally from South Mumbai to Raj Bhavan, denied police nod","New mobile app, emergency number for highway users",Ex-Uber exec files to dismiss case against him related to rape incident in India,"Bombay High Court reserves order on Arnab Goswami's interim bail plea, no immediate relief",INX Media case probe: Karti Chidambaram confronted with Indrani,Pakistan ready to release doctor who helped CIA track Osama in exchange of jailed neuroscientist,Loop roads in Bengaluru can cut traffic woes at metro stations,Six-member TMC delegation to meet EC in Delhi on Friday over 'attack' on Mamata Banerjee
503,Haryana authorities issue travel advisory ahead of farmer's tractor parade,32 killed after bus falls into river in Rajasthan,Aviation ministry asks DGCA instead of AAIB to probe goair’s February fire incident,Arnab Goswami's arrest appears to be prima facie 'illegal': Court,Himachal election: A brutal gangrape and murder has turned the spotlight on women’s rights,"Pragya Singh Thakur appears in NIA court, says didn't know about Malegaon blast","Mercedes hit-and-run: Minor driver's father quizzed, sent to police remand","Dilip Ghosh demands CBI probe into 'attack' on Mamata Banerjee, says 'drama' won't yield results this time"
504,"Spa worker fights Tamil Nadu cops for dignity, approaches Supreme Court",Nitin Gadkari seeks global cooperation for road safety,Lyon's Lopes faces fitness test after firecracker incident,Arnab Goswami case: Daughter of 53-yr-old who ended life met Maharashtra home min in May,Panchkula court posts hearing in former Dera manager's murder case on October 27,"BJP pushed to corner, Cong furious as Godse centre of debate on last day of campaigning","Delhi's odd-even scheme was of little use, says IIT Delhi study",West Bengal Elections 2021: TMC postpones manifesto release following 'attack' on Mamata Banerjee
505,308 Twitter handles created in Pakistan to disrupt rally: Delhi Police,J P Nadda bats for national trauma care policy,Soccer-Lyon's Lopes faces fitness test after firecracker incident,"BJP, central ministers slam Arnab Goswami's arrest; Congress terms reaction ‘selective outrage’",Himachal gang rape-murder case: Forensic tests fail to prove accused’s role,BJP launches twitter campaign slamming arrests in Karnataka over social media posts,How Gandhi's India created Indian techie & how at least 100 of them received degrees from MIT before 1947,Indian-American Vanita Gupta regrets past harsh rhetoric; attacked by Republicans at Senate hearing
506,"Amarnath Yatra: J&K admin expects 6 lakh footfall, issues directions to ensure safe, smooth movement","32 dead in Unchahar blast, enquiry report in a month: NTPC","DGCA to probe Mamata Banerjee flight incident, Parliament informed","Arnab Goswami arrest: We want to thank police, says widow of interior designer","Aarushi murder case: CBI, CDFD connived to put Talwars in dock, says Allahabad HC","Andhra Pradesh: Crowds for all, wave for none so far",Medical report confirms doctor driving Mercedes Benz was drunk,Brent jumps past $70 for first time since pandemic began after Saudi facilities attacked
507,"Dense fog shrouds Delhi, minimum temperature rises to 8.8 degrees Celsius","Unchahar power plant boiler blast toll rises to 30, says NTPC","Two terror incidents in Jammu; 7 armymen, 6 terrorists killed","Arguments, pleadings; high drama marks Arnab Goswami's arrest","BJP stirs poll pot with Tipu Jayanti, cadre murder",Masood Azhar's associate joins ruling party in Pakistan,"Doctor in Mercedes was drunk, says medical report",Rahul Gandhi attacks govt over loan waiver to industrialists
508,"Fresh snowfall in Kashmir, temperature drop in north Maharashtra likely from January 25",NTPC shuts Unchahar plant unit after blast claims 26 lives,SAD-BJP should apologise for framing AAP MLA in Malerkotla incident: AAP,Maharashtra government neglecting farmers: State BJP chief,Lookout circular issued against OSL MD in Paradip murder case,Dawood Ibrahim aide killed in Pakistan for 'plot' against boss?,"Bengaluru's Ballari Road turns deadly for pedestrians, cyclists",Jio execs to meet Punjab govt officials on continuing tower attacks
509,Flight services hit in Kashmir due to snowfall,Galvanised steel plates to help check rail accidents: HZL,Over 300 fire-related incidents reported in Delhi on Diwali,Give copy of plea over Disha Salian's death to Maha govt: High Court,BJP Calls for Kerala shutdown today after RSS worker’s murder,Turkey says Trump working on extraditing wanted cleric Gulen,Tanzanian assault case: NHRC sends notices to Karnataka DGP and Chief Secretary,"Militants attack Pakistan checkpoint in Balochistan, killing 7 soldiers"
